match_no,group,team_a,team_b,team_a_rank,team_a_points,team_b_rank,team_b_points,host_adjustment_a_pts,host_adjustment_b_pts,expected_goals_a,expected_goals_b,expected_total_goals,prob_team_a_win_pct,prob_draw_pct,prob_team_b_win_pct,prob_over_2_5_goals_pct,prob_under_2_5_goals_pct,prob_both_teams_score_pct,prob_team_a_clean_sheet_pct,prob_team_b_clean_sheet_pct,most_likely_score,top_3_scores,predicted_result,methodology,fixtures_source,ranking_source
1,A,Mexico,South Africa,15,1684.13,60,1428.38,35,0,2.0,0.79,2.79,65.9,20.4,13.8,52.8,47.2,47.1,45.5,13.5,2-0,2-0 (12.3%); 1-0 (12.3%); 2-1 (9.7%),Mexico,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
53,I,Senegal,Iraq,14,1686.41,57,1447.78,0,0,1.88,0.86,2.74,61.4,22.0,16.7,51.6,48.4,48.9,42.3,15.3,1-0,1-0 (12.1%); 2-0 (11.4%); 1-1 (10.4%),Senegal,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
54,I,Norway,France,31,1555.59,1,1877.32,0,0,0.75,2.08,2.82,12.3,19.4,68.3,53.6,46.4,46.0,12.5,47.4,0-2,0-2 (12.8%); 0-1 (12.4%); 1-2 (9.6%),France,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
55,J,Argentina,Algeria,3,1874.81,29,1564.26,0,0,2.05,0.76,2.81,67.4,19.8,12.8,53.3,46.7,46.4,46.7,12.9,2-0,2-0 (12.6%); 1-0 (12.3%); 2-1 (9.6%),Argentina,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
56,J,Austria,Jordan,23,1597.41,63,1390.1,0,0,1.8,0.91,2.71,58.4,22.9,18.7,50.8,49.2,49.8,40.3,16.5,1-0,1-0 (12.0%); 1-1 (10.9%); 2-0 (10.8%),Austria,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
57,J,Argentina,Austria,3,1874.81,23,1597.41,0,0,1.97,0.8,2.78,64.8,20.8,14.5,52.5,47.5,47.6,44.7,13.9,1-0,1-0 (12.3%); 2-0 (12.1%); 1-1 (9.9%),Argentina,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
58,J,Algeria,Jordan,29,1564.26,63,1390.1,0,0,1.71,0.96,2.67,55.1,23.9,21.0,50.0,50.0,50.6,38.3,18.0,1-0,1-0 (11.8%); 1-1 (11.3%); 2-0 (10.1%),Algeria,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
59,J,Algeria,Austria,29,1564.26,23,1597.41,0,0,1.2,1.34,2.53,33.3,26.7,40.0,46.5,53.5,51.4,26.2,30.3,1-1,1-1 (12.7%); 0-1 (10.6%); 1-0 (9.5%),Austria,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
60,J,Argentina,Jordan,3,1874.81,63,1390.1,0,0,2.38,0.57,2.95,77.6,15.2,7.2,56.5,43.5,39.6,56.3,9.3,2-0,2-0 (14.8%); 1-0 (12.4%); 3-0 (11.7%),Argentina,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
61,K,Portugal,Congo DR,5,1763.83,46,1478.35,0,0,1.99,0.79,2.79,65.4,20.5,14.0,52.7,47.3,47.3,45.2,13.6,1-0,1-0 (12.3%); 2-0 (12.2%); 1-1 (9.8%),Portugal,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
62,K,Uzbekistan,Colombia,50,1461.21,13,1695.99,0,0,0.87,1.87,2.73,16.9,22.1,61.0,51.5,48.5,49.0,15.4,42.1,0-1,0-1 (12.1%); 0-2 (11.3%); 1-1 (10.5%),Colombia,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
63,K,Portugal,Uzbekistan,5,1763.83,50,1461.21,0,0,2.03,0.77,2.8,66.8,20.0,13.2,53.1,46.9,46.7,46.3,13.1,2-0,2-0 (12.5%); 1-0 (12.3%); 2-1 (9.6%),Portugal,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
64,K,Congo DR,Colombia,46,1478.35,13,1695.99,0,0,0.89,1.83,2.72,18.0,22.6,59.4,51.1,48.9,49.5,16.1,41.0,0-1,0-1 (12.1%); 0-2 (11.0%); 1-1 (10.8%),Colombia,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
65,K,Colombia,Portugal,13,1695.99,5,1763.83,0,0,1.14,1.43,2.57,30.0,26.2,43.8,47.3,52.7,51.7,23.9,32.1,1-1,1-1 (12.5%); 0-1 (11.0%); 1-2 (8.9%),Portugal,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
66,K,Congo DR,Uzbekistan,46,1478.35,50,1461.21,0,0,1.3,1.22,2.52,38.3,26.9,34.8,46.1,53.9,51.2,29.5,27.4,1-1,1-1 (12.8%); 1-0 (10.5%); 0-1 (9.9%),Congo DR,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
67,L,England,Croatia,4,1825.97,11,1712.24,0,0,1.55,1.06,2.61,48.7,25.4,25.9,48.5,51.5,51.5,34.7,21.1,1-1,1-1 (12.1%); 1-0 (11.4%); 2-1 (9.4%),England,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
68,L,Ghana,Panama,73,1346.88,33,1539.14,0,0,0.93,1.76,2.69,19.7,23.4,56.9,50.4,49.6,50.2,17.2,39.4,0-1,0-1 (11.9%); 1-1 (11.1%); 0-2 (10.5%),Panama,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
69,L,England,Ghana,4,1825.97,73,1346.88,0,0,2.37,0.58,2.95,77.4,15.3,7.3,56.5,43.5,39.9,56.0,9.3,2-0,2-0 (14.7%); 1-0 (12.4%); 3-0 (11.6%),England,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
70,L,Croatia,Panama,11,1712.24,33,1539.14,0,0,1.71,0.96,2.67,55.0,23.9,21.1,50.0,50.0,50.6,38.2,18.1,1-0,1-0 (11.8%); 1-1 (11.4%); 2-0 (10.1%),Croatia,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
71,L,England,Panama,4,1825.97,33,1539.14,0,0,2.0,0.79,2.79,65.5,20.5,14.0,52.7,47.3,47.3,45.3,13.6,1-0,1-0 (12.3%); 2-0 (12.3%); 1-1 (9.7%),England,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
72,L,Croatia,Ghana,11,1712.24,73,1346.88,0,0,2.17,0.69,2.87,71.4,18.1,10.5,54.6,45.4,44.3,49.9,11.4,2-0,2-0 (13.4%); 1-0 (12.4%); 3-0 (9.7%),Croatia,Poisson simples com força baseada em pontos/ranking FIFA; +35 pts para anfitriões (MEX/CAN/USA); estimativa recreativa.,https://www.euronews.com/2026/05/30/the-euronews-guide-to-the-2026-world-cup-groups-fixtures-and-european-kick-off-times,https://football-ranking.com/fifa-world-rankings
